County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Georgia,GUAM,66010,13.450125700000001,144.75755102972062,18391,687,–
North Dakota,NORTHERN MARIANA ISLANDS,69100,14.149020499999999,145.21345248318923,585,10,189
