County,State,fips,Latitude,Longitude,Confirmed Cases
Fairfield ,CONNECTICUT,None,41.2943069,-73.37486,6004
Hartford ,CONNECTICUT,None,41.7923478,-72.722324,2243
Litchfield ,CONNECTICUT,None,41.767249,-73.2543049,446
Middlesex ,CONNECTICUT,None,41.4510811,-72.5528113,339
New Haven ,CONNECTICUT,None,41.4082,-72.9330283,3358
New London ,CONNECTICUT,None,41.4915013,-72.1237666,222
Tolland ,CONNECTICUT,None,41.818446,-72.3562252,195
Windham ,CONNECTICUT,None,41.8208345,-72.0051201,83
Pending address,CONNECTICUT,09,41.6500201,-72.7342163,491
